Sentiments,Sentiment Label,Posting Time,Contents
0.46693589124509227,Negative,2023/3/21 18:44,给你上香可以不
0.166487805340243,Negative,2023/3/21 18:59,关心年轻人上不上香？拜托关心一下年轻人就业好叭？该关心的不关心
0.49500719844798446,Negative,2023/3/21 18:45,要你管
0.10613490600138731,Negative,2023/3/21 19:07,能写出这个的人 是不是很有优越感
0.14677811085657722,Negative,2023/3/21 18:49,懂了，这周末就去上香，我佛佑我
0.9905350130161442,Positive,2023/3/21 19:03,首先认真生活认真工作和宗教信仰是不相悖的！尊重宗教信仰自由！其次，去环境清幽的寺庙上个香许个愿明确自己的奋斗目标、感悟人生的真谛，这和平时工作之余去饮茶喝咖啡放松精神整理思绪不是异曲同工吗？为什么要上纲上线去指责这些年轻人？
0.21599940386437377,Negative,2023/3/21 18:56,难道不是因为寺庙清净环境好不用被人打扰?
0.033192270176382266,Negative,2023/3/21 22:06,为什么关心年轻人都关心不到点子上？只会讽刺谩骂了吗？你们了解年轻人吗？
0.0003231055916460557,Negative,2023/3/21 18:59,一个人在社会化过程中遇到的困难情绪被通通用“似乎是不得了的大事”概括，可笑，“正是这些为了一些所谓宏伟的事业，为了一些远大的目标，去不计后果地牺牲别人、牺牲别人小猫的人，频频地让我们这个世界陷入大火。”
0.4121153237334704,Negative,2023/3/21 18:59,今年2月以来，预定寺庙景区门票的人群中，90后、00后占比近50%。那就是不足百分之五十，那另百分之五十多呢？
0.152894961328082,Negative,2023/3/21 21:43,那你去报警啊？
0.1346016770902737,Negative,2023/3/21 19:36,像地狱一样的国家 没有一点希望
0.6276621415529005,Positive,2023/3/22 0:13,你这是准备不要木琴还是批发的木琴？
0.00010198230144498055,Negative,2023/3/21 20:33,第三十六条　中华人民共和国公民有宗教信仰自由。 　　任何国家机关、社会团体和个人不得强制公民信仰宗教或者不信仰宗教，不得歧视信仰宗教的公民和不信仰宗教的公民。
0.05319043565384285,Negative,2023/3/21 19:24,上课不过是上层设计的陷阱，上香才能得到灵魂寄托
0.010235540206446903,Negative,2023/3/22 12:24,这依然不影响每年升学和求职时候那么多卷人
0.1098865610561599,Negative,2023/3/21 19:26,年轻人得努力工作，资本家才能有源源不断的韭菜割呀
0.7574144255084583,Positive,2023/3/21 19:22,佛家有云众生平等
0.3949933596488767,Negative,2023/3/21 18:46,本来近期打算去普陀山的
0.6952892601788158,Positive,2023/3/22 12:24,正想着后天休息干嘛呢，你刚好提醒我了，后天早起就去雍和宫给你上一香
0.0036708127149230885,Negative,2023/3/21 21:20,我他妈要钱，你多给钱少收钱就可以了别少给钱多收钱
0.2873597230733901,Negative,2023/3/23 23:26,闭嘴
0.27076248900681044,Negative,2023/3/23 15:44,现在就在普陀山，我马上就给观音菩萨告状
0.1767345448850074,Negative,2023/3/27 23:06,句句不谈薪资，条条不离奉献，桩桩不谈好处，事事皆讲境界，动不动就让你有格局，绕着圈给你画大饼...不拜神佛难到拜你们嘛？我们拜佛不是迷信，是求心安！
0.545603958599838,Positive,2023/3/21 18:52,说的蛮好的
0.906914133898298,Positive,2023/3/21 23:24,上香就是对美好生活的向往
0.0031524969174896444,Negative,2023/3/21 21:36,你管的真宽啊有这功夫不如管管每月107块养老金的农村老人
0.17226435213968505,Negative,2023/3/21 20:38,以前远离世俗，叫淡泊名利，现在佛一点，就这是问题，那是问题的。牛批，好话坏话都让你们说了，厉害，佩服
0.710788339154533,Positive,2023/4/5 14:19,我给你上100柱香，祝你一路走好
0.26806518686209924,Negative,2023/3/24 0:02,终于有媒体好好说话
0.22936597755647548,Negative,2023/3/22 10:41,不能上香吗？关你毛事
0.1749220375743733,Negative,2023/3/21 19:11,我们都卷成啥样了，看不到吗？
0.4199787460148775,Negative,2023/3/21 19:00,给你点了
0.49500719844798446,Negative,2023/3/21 18:59,用你管？
0.3284565201282167,Negative,2023/3/23 10:49,答主没有在批判上香啊 你们看完再说
0.23361825314691853,Negative,2023/3/22 10:26,这篇文章不是写得挺好的吗？我觉得没啥问题啊
0.47349710930122646,Negative,2023/3/27 0:08,未知苦处，不信神佛
0.3424647449677829,Negative,2023/3/23 13:39,要你管才怪wow～
0.040596710869525654,Negative,2023/3/23 7:17,笑死，现在寄希望于我佛你都不愿意，难道非要把人逼得寄希望于北约？
0.22241968717591987,Negative,2023/3/22 23:58,Uncertainty is the enemy of recovery，但个人的不确定性却不一定是坏事，他们只是希望在可预见的平庸中出现丁丁不确定性。
0.2727272727272725,Negative,2023/3/22 18:55,屁话多
0.9262504778000048,Positive,2023/3/22 17:13,如此清醒又美好的评论员文章点赞👍
0.20398796941919517,Negative,2023/3/21 18:50,上课上进有上香好用？？？
0.3240046207028475,Negative,2023/4/23 23:18,上不了香吗，古人也上香吧，现在的传媒人抨击历史文化！真是活在虚伪的世界出不来？我上我香怎么了，我也凭自己本事上岸了呀我图个心安怎么了
0.8399080002173531,Positive,2023/3/27 9:35,喜欢网上定票的都是年轻人，你在预定门票里统计，合理吗
0.2745607228776493,Negative,2023/3/26 5:55,懂了 上膛
0.4076606856174353,Negative,2023/3/25 14:56,我们上香求“国泰民安”。怎么？你不服气？
0.0842729860917385,Negative,2023/3/23 8:21,难道我们应该在拼命生存和生活的时候选择生娃？
0.08650253840709221,Negative,2023/3/21 21:15,多管闲事多吃屁
0.429070757065694,Negative,2023/3/21 21:13,清明节快到了，给你上一炷
0.4306094305309912,Negative,2023/3/21 20:11,你咋不问问年轻人为什么上香  关心一下年轻人咋活下去
0.0625292561289642,Negative,2023/3/21 19:59,这条微博不就是在说这“…属人之常情…”吗，评论区怎么都在嘲
0.2216950152408913,Negative,2023/5/15 16:23,当现世太苦，宗教的作用就会显现出来
0.0718690604008394,Negative,2023/5/1 12:11,年轻人上香一没违法二没乱纪，忧心年轻人上香干什么？
0.3569131832797424,Negative,2023/4/3 13:37,看看完啊各位
